series_id,x_fraction,y_deg
mocap_cmus35_walk_hip_mean_cycle,0.39,9.15
mocap_cmus35_walk_hip_mean_cycle,0.4,8.07
mocap_cmus35_walk_hip_mean_cycle,0.41,6.84
mocap_cmus35_walk_hip_mean_cycle,0.42,5.51
mocap_cmus35_walk_hip_mean_cycle,0.43,4.26
mocap_cmus35_walk_hip_mean_cycle,0.44,2.92
mocap_cmus35_walk_hip_mean_cycle,0.45,1.51
mocap_cmus35_walk_hip_mean_cycle,0.46,0.3
mocap_cmus35_walk_hip_mean_cycle,0.47,-0.81
mocap_cmus35_walk_hip_mean_cycle,0.48,-1.87
mocap_cmus35_walk_hip_mean_cycle,0.49,-2.74
mocap_cmus35_walk_hip_mean_cycle,0.5,-3.6
mocap_cmus35_walk_hip_mean_cycle,0.51,-4.22
mocap_cmus35_walk_hip_mean_cycle,0.52,-4.72
mocap_cmus35_walk_hip_mean_cycle,0.53,-5.23
mocap_cmus35_walk_hip_mean_cycle,0.54,-5.83
mocap_cmus35_walk_hip_mean_cycle,0.55,-6.37
mocap_cmus35_walk_hip_mean_cycle,0.56,-6.76
mocap_cmus35_walk_hip_mean_cycle,0.57,-6.95
mocap_cmus35_walk_hip_mean_cycle,0.58,-7.05
mocap_cmus35_walk_hip_mean_cycle,0.59,-6.47
mocap_cmus35_walk_hip_mean_cycle,0.6,-5.6
mocap_cmus35_walk_hip_mean_cycle,0.61,-4.72
mocap_cmus35_walk_hip_mean_cycle,0.62,-3.8
mocap_cmus35_walk_hip_mean_cycle,0.63,-2.13
mocap_cmus35_walk_hip_mean_cycle,0.64,-0.17
mocap_cmus35_walk_hip_mean_cycle,0.65,1.5
mocap_cmus35_walk_hip_mean_cycle,0.66,3.14
mocap_cmus35_walk_hip_mean_cycle,0.67,5.18
mocap_cmus35_walk_hip_mean_cycle,0.68,7.93
mocap_cmus35_walk_hip_mean_cycle,0.69,10.05
mocap_cmus35_walk_hip_mean_cycle,0.7,11.64
mocap_cmus35_walk_hip_mean_cycle,0.71,14.18
mocap_cmus35_walk_hip_mean_cycle,0.72,16.34
mocap_cmus35_walk_hip_mean_cycle,0.73,17.89
mocap_cmus35_walk_hip_mean_cycle,0.74,19.63
mocap_cmus35_walk_hip_mean_cycle,0.75,21.35
mocap_cmus35_walk_hip_mean_cycle,0.76,23.3
mocap_cmus35_walk_hip_mean_cycle,0.77,25.14
mocap_cmus35_walk_hip_mean_cycle,0.78,26.58
mocap_cmus35_walk_hip_mean_cycle,0.79,27.93
mocap_cmus35_walk_hip_mean_cycle,0.8,29.46
mocap_cmus35_walk_hip_mean_cycle,0.81,31.02
mocap_cmus35_walk_hip_mean_cycle,0.82,32.25
mocap_cmus35_walk_hip_mean_cycle,0.83,33.57
mocap_cmus35_walk_hip_mean_cycle,0.84,34.67
mocap_cmus35_walk_hip_mean_cycle,0.85,35.71
mocap_cmus35_walk_hip_mean_cycle,0.86,36.67
mocap_cmus35_walk_hip_mean_cycle,0.87,37.31
mocap_cmus35_walk_hip_mean_cycle,0.88,37.93
mocap_cmus35_walk_hip_mean_cycle,0.89,38.51
mocap_cmus35_walk_hip_mean_cycle,0.9,38.65
mocap_cmus35_walk_hip_mean_cycle,0.91,38.68
mocap_cmus35_walk_hip_mean_cycle,0.92,38.52
mocap_cmus35_walk_hip_mean_cycle,0.93,38.11
mocap_cmus35_walk_hip_mean_cycle,0.94,37.73
mocap_cmus35_walk_hip_mean_cycle,0.95,37.15
mocap_cmus35_walk_hip_mean_cycle,0.96,36.58
mocap_cmus35_walk_hip_mean_cycle,0.97,35.83
mocap_cmus35_walk_hip_mean_cycle,0.98,35.25
mocap_cmus35_walk_hip_mean_cycle,0.99,34.7
mocap_cmus35_walk_hip_mean_cycle,1.0,34.38
