series_id,x_fraction,y_deg
mocap_cmus35_walk_knee_mean_cycle,0.59,31.84
mocap_cmus35_walk_knee_mean_cycle,0.6,34.71
mocap_cmus35_walk_knee_mean_cycle,0.61,37.76
mocap_cmus35_walk_knee_mean_cycle,0.62,40.9
mocap_cmus35_walk_knee_mean_cycle,0.63,44.08
mocap_cmus35_walk_knee_mean_cycle,0.64,47.33
mocap_cmus35_walk_knee_mean_cycle,0.65,50.51
mocap_cmus35_walk_knee_mean_cycle,0.66,53.65
mocap_cmus35_walk_knee_mean_cycle,0.67,56.86
mocap_cmus35_walk_knee_mean_cycle,0.68,60.18
mocap_cmus35_walk_knee_mean_cycle,0.69,63.37
mocap_cmus35_walk_knee_mean_cycle,0.7,66.05
mocap_cmus35_walk_knee_mean_cycle,0.71,68.23
mocap_cmus35_walk_knee_mean_cycle,0.72,70.01
mocap_cmus35_walk_knee_mean_cycle,0.73,71.41
mocap_cmus35_walk_knee_mean_cycle,0.74,72.42
mocap_cmus35_walk_knee_mean_cycle,0.75,73.14
mocap_cmus35_walk_knee_mean_cycle,0.76,73.57
mocap_cmus35_walk_knee_mean_cycle,0.77,73.75
mocap_cmus35_walk_knee_mean_cycle,0.78,73.5
mocap_cmus35_walk_knee_mean_cycle,0.79,72.98
mocap_cmus35_walk_knee_mean_cycle,0.8,72.24
mocap_cmus35_walk_knee_mean_cycle,0.81,71.26
mocap_cmus35_walk_knee_mean_cycle,0.82,69.95
mocap_cmus35_walk_knee_mean_cycle,0.83,68.35
mocap_cmus35_walk_knee_mean_cycle,0.84,66.47
mocap_cmus35_walk_knee_mean_cycle,0.85,64.39
mocap_cmus35_walk_knee_mean_cycle,0.86,62.04
mocap_cmus35_walk_knee_mean_cycle,0.87,59.39
mocap_cmus35_walk_knee_mean_cycle,0.88,56.42
mocap_cmus35_walk_knee_mean_cycle,0.89,53.13
mocap_cmus35_walk_knee_mean_cycle,0.9,49.45
mocap_cmus35_walk_knee_mean_cycle,0.91,45.49
mocap_cmus35_walk_knee_mean_cycle,0.92,41.26
mocap_cmus35_walk_knee_mean_cycle,0.93,36.9
mocap_cmus35_walk_knee_mean_cycle,0.94,32.58
mocap_cmus35_walk_knee_mean_cycle,0.95,28.41
mocap_cmus35_walk_knee_mean_cycle,0.96,24.42
mocap_cmus35_walk_knee_mean_cycle,0.97,20.73
mocap_cmus35_walk_knee_mean_cycle,0.98,17.4
mocap_cmus35_walk_knee_mean_cycle,0.99,14.79
mocap_cmus35_walk_knee_mean_cycle,1.0,13.29
